,lon,lat,forestcoverfraction
713,73.75,27.25,1.0
714,73.75,27.75,0.0
715,73.75,28.25,0.0
716,73.75,28.75,0.0
717,73.75,29.25,1.0
718,73.75,29.75,2.0
719,73.75,30.25,3.0
720,73.75,30.75,4.0
721,73.75,31.25,5.0
722,73.75,31.75,5.0
723,73.75,32.25,7.0
724,73.75,32.75,7.0
725,73.75,33.25,11.0
726,73.75,33.75,19.0
727,73.75,34.25,28.0
728,73.75,34.75,18.0
729,73.75,35.25,8.0
730,73.75,35.75,7.0
731,73.75,36.25,3.0
732,74.25,6.25,
733,74.25,6.75,
734,74.25,7.25,
735,74.25,7.75,
736,74.25,8.25,
737,74.25,8.75,
738,74.25,9.25,
739,74.25,9.75,
740,74.25,10.25,
741,74.25,10.75,
742,74.25,11.25,
743,74.25,11.75,
744,74.25,12.25,
745,74.25,12.75,
746,74.25,13.25,
747,74.25,13.75,
748,74.25,14.25,18.0
749,74.25,14.75,43.0
750,74.25,15.25,32.0
751,74.25,15.75,18.0
752,74.25,16.25,10.0
753,74.25,16.75,11.0
754,74.25,17.25,9.0
755,74.25,17.75,9.0
756,74.25,18.25,9.0
757,74.25,18.75,11.0
758,74.25,19.25,9.0
759,74.25,19.75,11.0
760,74.25,20.25,11.0
761,74.25,20.75,8.0
762,74.25,21.25,8.0
763,74.25,21.75,8.0
764,74.25,22.25,4.0
765,74.25,22.75,4.0
766,74.25,23.25,5.0
767,74.25,23.75,4.0
768,74.25,24.25,3.0
769,74.25,24.75,3.0
770,74.25,25.25,2.0
771,74.25,25.75,3.0
772,74.25,26.25,2.0
773,74.25,26.75,1.0
774,74.25,27.25,1.0
775,74.25,27.75,0.0
776,74.25,28.25,0.0
777,74.25,28.75,0.0
778,74.25,29.25,1.0
779,74.25,29.75,2.0
780,74.25,30.25,4.0
781,74.25,30.75,6.0
782,74.25,31.25,4.0
783,74.25,31.75,6.0
784,74.25,32.25,8.0
785,74.25,32.75,7.0
786,74.25,33.25,16.0
787,74.25,33.75,21.0
788,74.25,34.25,23.0
789,74.25,34.75,24.0
790,74.25,35.25,5.0
791,74.25,35.75,7.0
792,74.25,36.25,3.0
793,74.75,6.25,
794,74.75,6.75,
795,74.75,7.25,
796,74.75,7.75,
797,74.75,8.25,
798,74.75,8.75,
799,74.75,9.25,
800,74.75,9.75,
801,74.75,10.25,
802,74.75,10.75,
803,74.75,11.25,
804,74.75,11.75,
805,74.75,12.25,
806,74.75,12.75,16.0
807,74.75,13.25,14.0
808,74.75,13.75,30.0
809,74.75,14.25,30.0
810,74.75,14.75,30.0
811,74.75,15.25,20.0
812,74.75,15.75,6.0
813,74.75,16.25,7.0
814,74.75,16.75,13.0
815,74.75,17.25,7.0
816,74.75,17.75,7.0
817,74.75,18.25,10.0
818,74.75,18.75,9.0
819,74.75,19.25,10.0
820,74.75,19.75,11.0
821,74.75,20.25,8.0
822,74.75,20.75,7.0
823,74.75,21.25,7.0
824,74.75,21.75,8.0
825,74.75,22.25,6.0
826,74.75,22.75,7.0
827,74.75,23.25,8.0
828,74.75,23.75,7.0
829,74.75,24.25,6.0
830,74.75,24.75,3.0
831,74.75,25.25,2.0
832,74.75,25.75,2.0
833,74.75,26.25,2.0
834,74.75,26.75,2.0
835,74.75,27.25,1.0
836,74.75,27.75,1.0
837,74.75,28.25,0.0
838,74.75,28.75,0.0
839,74.75,29.25,1.0
840,74.75,29.75,3.0
841,74.75,30.25,5.0
842,74.75,30.75,8.0
843,74.75,31.25,10.0
844,74.75,31.75,9.0
845,74.75,32.25,5.0
846,74.75,32.75,10.0
847,74.75,33.25,21.0
848,74.75,33.75,14.0
849,74.75,34.25,16.0
850,74.75,34.75,15.0
851,74.75,35.25,4.0
852,74.75,35.75,4.0
853,74.75,36.25,2.0
854,75.25,6.25,
855,75.25,6.75,
856,75.25,7.25,
857,75.25,7.75,
858,75.25,8.25,
859,75.25,8.75,
860,75.25,9.25,
861,75.25,9.75,
862,75.25,10.25,
863,75.25,10.75,
864,75.25,11.25,
865,75.25,11.75,37.0
866,75.25,12.25,37.0
867,75.25,12.75,24.0
868,75.25,13.25,34.0
869,75.25,13.75,22.0
870,75.25,14.25,9.0
871,75.25,14.75,5.0
872,75.25,15.25,6.0
873,75.25,15.75,7.0
874,75.25,16.25,7.0
875,75.25,16.75,8.0
876,75.25,17.25,7.0
877,75.25,17.75,11.0
878,75.25,18.25,12.0
879,75.25,18.75,9.0
880,75.25,19.25,11.0
881,75.25,19.75,10.0
882,75.25,20.25,9.0
883,75.25,20.75,9.0
884,75.25,21.25,8.0
885,75.25,21.75,7.0
886,75.25,22.25,8.0
887,75.25,22.75,8.0
888,75.25,23.25,6.0
889,75.25,23.75,6.0
890,75.25,24.25,7.0
891,75.25,24.75,3.0
892,75.25,25.25,2.0
893,75.25,25.75,2.0
894,75.25,26.25,2.0
895,75.25,26.75,1.0
896,75.25,27.25,2.0
897,75.25,27.75,2.0
898,75.25,28.25,1.0
899,75.25,28.75,0.0
900,75.25,29.25,1.0
901,75.25,29.75,3.0
902,75.25,30.25,7.0
903,75.25,30.75,12.0
904,75.25,31.25,11.0
905,75.25,31.75,12.0
906,75.25,32.25,9.0
907,75.25,32.75,18.0
908,75.25,33.25,23.0
909,75.25,33.75,19.0
910,75.25,34.25,13.0
911,75.25,34.75,5.0
912,75.25,35.25,2.0
913,75.25,35.75,2.0
914,75.25,36.25,2.0
915,75.75,6.25,
916,75.75,6.75,
917,75.75,7.25,
918,75.75,7.75,
919,75.75,8.25,
920,75.75,8.75,
921,75.75,9.25,
922,75.75,9.75,
923,75.75,10.25,
924,75.75,10.75,42.0
925,75.75,11.25,43.0
926,75.75,11.75,45.0
927,75.75,12.25,40.0
928,75.75,12.75,36.0
929,75.75,13.25,22.0
930,75.75,13.75,13.0
931,75.75,14.25,4.0
932,75.75,14.75,3.0
933,75.75,15.25,5.0
934,75.75,15.75,7.0
935,75.75,16.25,8.0
936,75.75,16.75,6.0
937,75.75,17.25,8.0
