,lat,lon
365,33.75,40.75
366,34.25,40.75
367,34.75,40.75
368,35.25,40.75
369,35.75,40.75
370,36.25,40.75
371,36.75,40.75
372,6.25,41.25
373,6.75,41.25
374,7.25,41.25
375,7.75,41.25
376,8.25,41.25
377,8.75,41.25
378,9.25,41.25
379,9.75,41.25
380,10.25,41.25
381,10.75,41.25
382,11.25,41.25
383,11.75,41.25
384,12.25,41.25
385,12.75,41.25
386,13.25,41.25
387,13.75,41.25
388,14.25,41.25
389,14.75,41.25
390,15.25,41.25
391,15.75,41.25
392,16.25,41.25
393,16.75,41.25
394,17.25,41.25
395,17.75,41.25
396,18.25,41.25
397,18.75,41.25
398,19.25,41.25
399,19.75,41.25
400,20.25,41.25
401,20.75,41.25
402,21.25,41.25
403,21.75,41.25
404,22.25,41.25
405,22.75,41.25
406,23.25,41.25
407,23.75,41.25
408,24.25,41.25
409,24.75,41.25
410,25.25,41.25
411,25.75,41.25
412,26.25,41.25
413,26.75,41.25
414,27.25,41.25
415,27.75,41.25
416,28.25,41.25
417,28.75,41.25
418,29.25,41.25
419,29.75,41.25
420,30.25,41.25
421,30.75,41.25
422,31.25,41.25
423,31.75,41.25
424,32.25,41.25
425,32.75,41.25
426,33.25,41.25
427,33.75,41.25
428,34.25,41.25
429,34.75,41.25
430,35.25,41.25
431,35.75,41.25
432,36.25,41.25
433,36.75,41.25
434,6.25,41.75
435,6.75,41.75
436,7.25,41.75
437,7.75,41.75
438,8.25,41.75
439,8.75,41.75
440,9.25,41.75
441,9.75,41.75
442,10.25,41.75
443,10.75,41.75
444,11.25,41.75
445,11.75,41.75
446,12.25,41.75
447,12.75,41.75
448,13.25,41.75
449,13.75,41.75
450,14.25,41.75
451,14.75,41.75
452,15.25,41.75
453,15.75,41.75
454,16.25,41.75
455,16.75,41.75
456,17.25,41.75
457,17.75,41.75
458,18.25,41.75
459,18.75,41.75
460,19.25,41.75
461,19.75,41.75
462,20.25,41.75
463,20.75,41.75
464,21.25,41.75
465,21.75,41.75
466,22.25,41.75
467,22.75,41.75
468,23.25,41.75
469,23.75,41.75
470,24.25,41.75
471,24.75,41.75
472,25.25,41.75
473,25.75,41.75
474,26.25,41.75
475,26.75,41.75
476,27.25,41.75
477,27.75,41.75
478,28.25,41.75
479,28.75,41.75
480,29.25,41.75
481,29.75,41.75
482,30.25,41.75
483,30.75,41.75
484,31.25,41.75
485,31.75,41.75
486,32.25,41.75
487,32.75,41.75
488,33.25,41.75
489,33.75,41.75
490,34.25,41.75
491,34.75,41.75
492,35.25,41.75
493,35.75,41.75
494,36.25,41.75
495,36.75,41.75
496,6.25,42.25
497,6.75,42.25
498,7.25,42.25
499,7.75,42.25
500,8.25,42.25
501,8.75,42.25
502,9.25,42.25
503,9.75,42.25
504,10.25,42.25
505,10.75,42.25
506,11.25,42.25
507,11.75,42.25
508,12.25,42.25
509,12.75,42.25
510,13.25,42.25
511,13.75,42.25
512,14.25,42.25
513,14.75,42.25
