,lat,lon,forestcoverfraction,year_month,count,sum_frp
267,26.25,90.25,11,2015-03,2,58.4
268,26.25,90.25,11,2016-02,1,16.0
269,26.25,90.25,11,2016-03,3,63.2
270,26.25,90.25,11,2019-03,1,39.1
271,26.25,90.25,11,2020-02,1,32.6
272,26.25,90.25,11,2020-03,1,22.6
273,26.25,90.25,11,2020-04,1,13.9
274,26.25,90.25,11,2023-03,2,40.5
275,26.25,90.25,11,2024-02,1,15.0
276,26.25,90.25,11,2024-03,2,41.9
277,26.75,90.25,44,2001-03,3,41.6
278,26.75,90.25,44,2002-10,1,13.8
279,26.75,90.25,44,2002-12,1,18.0
280,26.75,90.25,44,2004-12,1,31.3
281,26.75,90.25,44,2006-03,7,179.0
282,26.75,90.25,44,2008-01,1,20.7
283,26.75,90.25,44,2009-03,11,277.1
284,26.75,90.25,44,2010-01,1,13.5
285,26.75,90.25,44,2010-03,5,133.6
286,26.75,90.25,44,2011-02,3,81.1
287,26.75,90.25,44,2011-03,5,84.1
288,26.75,90.25,44,2012-02,1,19.3
289,26.75,90.25,44,2012-03,11,410.7
290,26.75,90.25,44,2013-02,1,21.7
291,26.75,90.25,44,2014-03,3,94.6
292,26.75,90.25,44,2014-04,2,55.5
293,26.75,90.25,44,2015-03,9,349.90000000000003
294,26.75,90.25,44,2016-02,1,31.3
295,26.75,90.25,44,2016-03,2,29.5
296,26.75,90.25,44,2017-02,3,66.5
297,26.75,90.25,44,2017-03,3,127.8
298,26.75,90.25,44,2018-01,1,17.0
299,26.75,90.25,44,2020-03,1,32.4
300,26.75,90.25,44,2022-02,1,18.9
301,26.75,90.25,44,2022-03,5,138.8
302,26.75,90.25,44,2023-01,1,21.9
303,26.75,90.25,44,2023-02,2,24.6
304,26.75,90.25,44,2024-01,1,11.5
305,26.75,90.25,44,2024-03,14,703.6999999999999
306,25.25,90.75,39,2001-03,1,18.4
307,25.25,90.75,39,2003-03,81,10596.0
308,25.25,90.75,39,2003-04,8,488.2000000000001
309,25.25,90.75,39,2004-03,81,9994.1
310,25.25,90.75,39,2004-05,1,35.3
311,25.25,90.75,39,2005-03,74,9578.3
312,25.25,90.75,39,2005-04,30,2983.5
313,25.25,90.75,39,2006-02,1,23.6
314,25.25,90.75,39,2006-03,144,11370.6
315,25.25,90.75,39,2007-03,138,17109.4
316,25.25,90.75,39,2007-04,3,102.3
317,25.25,90.75,39,2007-05,6,770.6
318,25.25,90.75,39,2008-03,36,3026.8
319,25.25,90.75,39,2008-04,42,2998.2999999999997
320,25.25,90.75,39,2009-01,1,14.6
321,25.25,90.75,39,2009-02,2,82.3
322,25.25,90.75,39,2009-03,116,17172.7
323,25.25,90.75,39,2009-04,5,173.5
324,25.25,90.75,39,2010-02,3,91.2
325,25.25,90.75,39,2010-03,88,7760.5
326,25.25,90.75,39,2010-04,1,25.1
327,25.25,90.75,39,2011-02,1,40.6
328,25.25,90.75,39,2011-03,52,8226.2
329,25.25,90.75,39,2011-04,14,1214.1
330,25.25,90.75,39,2012-02,4,98.1
331,25.25,90.75,39,2012-03,53,5088.2
332,25.25,90.75,39,2012-04,8,312.1
333,25.25,90.75,39,2013-02,1,15.7
334,25.25,90.75,39,2013-03,46,3787.8
335,25.25,90.75,39,2014-03,86,10756.8
336,25.25,90.75,39,2015-03,102,9994.0
337,25.25,90.75,39,2015-04,1,36.8
338,25.25,90.75,39,2016-02,3,278.0
339,25.25,90.75,39,2016-03,65,7379.7
340,25.25,90.75,39,2016-04,15,1021.3
341,25.25,90.75,39,2017-03,9,916.1
342,25.25,90.75,39,2017-04,51,3219.7999999999997
343,25.25,90.75,39,2017-05,1,47.8
344,25.25,90.75,39,2018-03,110,10912.6
345,25.25,90.75,39,2018-04,4,204.0
346,25.25,90.75,39,2019-03,50,8912.2
347,25.25,90.75,39,2019-04,2,114.1
348,25.25,90.75,39,2020-03,63,6438.1
349,25.25,90.75,39,2020-04,3,149.4
350,25.25,90.75,39,2021-03,60,5596.1
351,25.25,90.75,39,2021-04,5,418.7
352,25.25,90.75,39,2022-02,1,74.9
353,25.25,90.75,39,2022-03,32,2694.1
354,25.25,90.75,39,2022-04,1,27.7
355,25.25,90.75,39,2022-05,1,90.3
356,25.25,90.75,39,2023-02,1,29.3
357,25.25,90.75,39,2023-03,32,2842.2
358,25.25,90.75,39,2023-04,4,278.79999999999995
359,25.25,90.75,39,2024-03,45,5546.099999999999
360,25.25,90.75,39,2024-04,6,200.4
361,25.75,90.75,30,2001-03,37,3129.3
362,25.75,90.75,30,2002-03,7,424.7
363,25.75,90.75,30,2003-03,52,3080.2
364,25.75,90.75,30,2003-04,13,502.7000000000001
365,25.75,90.75,30,2004-02,4,160.6
366,25.75,90.75,30,2004-03,191,12348.3
367,25.75,90.75,30,2004-12,1,33.2
368,25.75,90.75,30,2005-02,3,112.0
369,25.75,90.75,30,2005-03,148,12432.7
370,25.75,90.75,30,2005-04,5,148.6
371,25.75,90.75,30,2006-02,8,598.0
372,25.75,90.75,30,2006-03,197,13690.7
373,25.75,90.75,30,2006-04,1,13.4
374,25.75,90.75,30,2006-12,1,26.2
375,25.75,90.75,30,2007-01,1,19.6
376,25.75,90.75,30,2007-03,142,15433.7
377,25.75,90.75,30,2007-04,2,40.099999999999994
378,25.75,90.75,30,2008-03,60,3849.2
379,25.75,90.75,30,2008-04,14,1314.8
380,25.75,90.75,30,2009-02,14,544.1
381,25.75,90.75,30,2009-03,226,16325.5
382,25.75,90.75,30,2010-03,332,23344.5
383,25.75,90.75,30,2010-04,5,100.8
384,25.75,90.75,30,2011-02,2,168.5
385,25.75,90.75,30,2011-03,158,13466.8
386,25.75,90.75,30,2011-04,10,1307.3
387,25.75,90.75,30,2012-02,6,122.2
388,25.75,90.75,30,2012-03,145,11187.3
389,25.75,90.75,30,2012-04,1,16.5
390,25.75,90.75,30,2013-01,2,30.299999999999997
391,25.75,90.75,30,2013-02,3,76.3
392,25.75,90.75,30,2013-03,168,9041.6
393,25.75,90.75,30,2013-04,7,117.5
394,25.75,90.75,30,2014-03,158,11638.8
395,25.75,90.75,30,2014-04,9,168.6
396,25.75,90.75,30,2015-03,275,34373.9
397,25.75,90.75,30,2015-11,1,24.1
398,25.75,90.75,30,2016-02,1,16.3
399,25.75,90.75,30,2016-03,161,10903.0
400,25.75,90.75,30,2016-04,9,566.8
401,25.75,90.75,30,2017-02,5,94.4
402,25.75,90.75,30,2017-03,93,6721.6
403,25.75,90.75,30,2017-04,35,2319.3
404,25.75,90.75,30,2018-02,2,27.700000000000003
405,25.75,90.75,30,2018-03,137,9739.6
406,25.75,90.75,30,2018-04,2,57.5
407,25.75,90.75,30,2019-01,1,29.6
408,25.75,90.75,30,2019-03,121,11522.5
409,25.75,90.75,30,2019-12,2,37.7
410,25.75,90.75,30,2020-03,143,12231.4
411,25.75,90.75,30,2020-04,2,44.2
412,25.75,90.75,30,2021-03,124,6952.3
413,25.75,90.75,30,2022-03,122,9060.5
414,25.75,90.75,30,2023-02,1,18.1
415,25.75,90.75,30,2023-03,75,5926.8
416,25.75,90.75,30,2023-04,6,232.7
417,25.75,90.75,30,2024-03,74,8434.699999999999
418,25.75,90.75,30,2024-04,20,904.4
419,26.75,90.75,43,2001-01,5,167.1
420,26.75,90.75,43,2001-02,1,20.6
421,26.75,90.75,43,2001-03,3,122.7
422,26.75,90.75,43,2001-12,3,77.9
423,26.75,90.75,43,2002-01,2,31.8
424,26.75,90.75,43,2002-02,4,143.4
425,26.75,90.75,43,2002-03,1,46.8
426,26.75,90.75,43,2002-10,1,31.5
427,26.75,90.75,43,2002-11,12,464.1
428,26.75,90.75,43,2002-12,19,811.9
429,26.75,90.75,43,2003-01,15,659.6
430,26.75,90.75,43,2003-03,1,23.7
431,26.75,90.75,43,2003-12,4,149.9
432,26.75,90.75,43,2004-01,18,1037.4
433,26.75,90.75,43,2004-02,33,1874.0
434,26.75,90.75,43,2004-03,6,296.7
435,26.75,90.75,43,2004-10,2,25.8
436,26.75,90.75,43,2004-11,13,695.9
437,26.75,90.75,43,2004-12,8,215.0
438,26.75,90.75,43,2005-01,7,694.4
439,26.75,90.75,43,2005-02,3,71.1
440,26.75,90.75,43,2005-11,9,450.4
441,26.75,90.75,43,2005-12,24,762.7
442,26.75,90.75,43,2006-01,16,543.8
443,26.75,90.75,43,2006-02,6,260.0
444,26.75,90.75,43,2006-03,12,501.7
445,26.75,90.75,43,2006-10,2,71.8
446,26.75,90.75,43,2006-11,5,223.40000000000003
447,26.75,90.75,43,2006-12,8,308.8
448,26.75,90.75,43,2007-01,18,695.7
449,26.75,90.75,43,2007-02,1,31.4
450,26.75,90.75,43,2007-03,1,20.2
451,26.75,90.75,43,2007-04,1,19.8
452,26.75,90.75,43,2007-11,9,482.6
453,26.75,90.75,43,2007-12,18,922.1
454,26.75,90.75,43,2008-01,8,694.2
455,26.75,90.75,43,2008-02,10,767.3
456,26.75,90.75,43,2008-03,2,45.5
457,26.75,90.75,43,2008-11,2,59.5
458,26.75,90.75,43,2008-12,2,78.19999999999999
459,26.75,90.75,43,2009-01,7,494.1
460,26.75,90.75,43,2009-02,22,1687.9
461,26.75,90.75,43,2009-03,26,1138.7
462,26.75,90.75,43,2009-11,1,25.4
463,26.75,90.75,43,2009-12,2,42.0
464,26.75,90.75,43,2010-01,35,3730.0
465,26.75,90.75,43,2010-02,6,171.0
466,26.75,90.75,43,2010-03,4,88.5
467,26.75,90.75,43,2010-11,3,546.1
468,26.75,90.75,43,2010-12,11,383.6
469,26.75,90.75,43,2011-01,23,916.4
470,26.75,90.75,43,2011-02,17,796.4
471,26.75,90.75,43,2011-03,5,154.60000000000002
472,26.75,90.75,43,2011-11,10,761.5999999999999
473,26.75,90.75,43,2011-12,18,1374.1
474,26.75,90.75,43,2012-01,7,268.9
475,26.75,90.75,43,2012-02,8,238.7
476,26.75,90.75,43,2012-03,28,1997.0
477,26.75,90.75,43,2012-04,4,150.0
